salary,start,end,supplements,breaks,id,employeeId,employeeGroupId,date,salaryCode,wage,shiftDuration,departmentId,positionId,shiftTypeId
127.8,2026-01-27T10:00:00,2026-01-27T19:00:00,[],[],16018399,265779,141407,2026-01-27,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:09:00,55297,,
120.0,2026-01-27T11:00:00,2026-01-27T19:00:00,[],[],16018440,247134,141418,2026-01-27,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:08:00,55297,,
99.4,2026-01-27T12:00:00,2026-01-27T19:00:00,[],[],16018441,247112,141569,2026-01-27,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:07:00,55297,,
0.0,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018427,251262,141853,2026-01-27,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,55297,,
0.0,2026-01-27T09:00:00,2026-01-27T17:00:00,[],[],16018430,263481,141853,2026-01-27,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,55297,,
90.625,2026-01-27T11:00:00,2026-01-27T17:15:00,[],[],16018484,265814,141403,2026-01-27,1201,"{'rate': 14.5, 'type': 'Hourly'}",0:06:15,55301,,
0.0,2026-01-27T09:00:00,2026-01-27T17:00:00,[],[],16018467,265751,141844,2026-01-27,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,55301,,
0.0,2026-01-27T09:00:00,2026-01-27T18:00:00,[],[],16018253,262321,141397,2026-01-27,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,83216.0,
0.0,2026-01-27T09:00:00,2026-01-27T18:00:00,[],[],16018254,247145,141397,2026-01-27,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,83216.0,
0.0,2026-01-27T09:00:00,2026-01-27T18:00:00,[],[],16018257,247669,141398,2026-01-27,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,85099.0,
0.0,2026-01-27T09:00:00,2026-01-27T18:00:00,[],[],16018283,265775,141398,2026-01-27,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,85099.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018141,247111,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018142,248037,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018143,247118,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018144,265824,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018145,248027,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018196,247087,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018197,247119,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018198,247136,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018204,265113,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
110.8,2026-01-27T10:00:00,2026-01-27T18:00:00,[],[],16018215,248022,141399,2026-01-27,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0,
